"","t","certL","certQ","corr","Cl_C","cL_C","certL_p","certQ_p","corr_p","Cl_C_p","cL_C_p","certL_t","certQ_t","corr_t","Cl_C_t","cL_C_t"
"1",0.025,-0.0133336005089401,0.0177446671597452,0.0184181274168116,0.0396248870419607,-0.00394530262482633,0.675815464613036,0.55973264064251,0.624164552899457,0.561701277677248,0.948980427626507,-0.41821431156986,0.583288441481733,0.489984098150315,0.58035052058234,-0.063989985060623
"2",0.075,0.00421373711246693,-0.0210076105970953,-0.00797689932703908,0.0385723722436077,-0.0171912647377518,0.894158461028613,0.48732764952498,0.831647285715178,0.571681376352134,0.780240009307872,0.133050023695854,-0.694610121233844,-0.212598973958728,0.565609347811536,-0.279019311660092
"3",0.125,0.00438893607592736,-0.0372211103508974,-0.0522379615514091,0.0135794811256966,0.103649717155692,0.88975275109458,0.218346713928948,0.163778925572965,0.84212652042265,0.092474555575693,0.138623197876934,-1.23107046439898,-1.39265137863409,0.199183125928229,1.68276586919257
"4",0.175,0.0333288664183735,-0.0410983771929339,-0.0104655374263379,-0.0834163676075922,0.0289139885215327,0.292666427582265,0.174222732466107,0.780308299966013,0.221302900641115,0.638879888703985,1.05238633565712,-1.35892741785424,-0.278930321336288,-1.22320329537675,0.469290300146786
"5",0.225,0.00679773802142889,0.0217084556192096,-0.0288172112296408,-0.00438951333158864,-0.0313550424725984,0.832082423086513,0.477635004455051,0.443863627872101,0.948768797129037,0.61111155825995,0.212044355124881,0.710169751585884,-0.765739021986069,-0.0642557885220164,-0.508515200490019
"6",0.275,-0.00452761369958285,0.0152818963967109,0.0918777667456036,0.145733802303045,0.0524905780567599,0.886270105181403,0.613197513450684,0.0143180613412909,0.0325553048879963,0.39404939427609,-0.143031747326344,0.505542020065896,2.44992643248832,2.13804127543046,0.852360567798095
"7",0.325,0.0360023464522054,-0.0126976069261024,0.0108332681716031,0.00468833400972618,0.0466998033389354,0.25917236936517,0.676582316940088,0.773221435048922,0.945258322407947,0.448796096008971,1.1285240752961,-0.417161948978828,0.288177747025348,0.0686654635608432,0.757475497859891
"8",0.375,0.0307878062367334,0.0141128707219166,-0.00763473070656507,-0.0396495649800351,0.0358314245730653,0.33475104595223,0.643020511993233,0.839070634348834,0.561441348460797,0.561102357778562,0.964711279079702,0.463514031917106,-0.203091880569434,-0.580736025510683,0.581238724229595
"9",0.425,-0.0489344743728306,0.0151701676422312,-0.051120801346606,0.0442924105139598,-0.0145693688204552,0.122341607820131,0.615941641200438,0.173070183921385,0.516016366747053,0.813065254159881,-1.54524613701367,0.501637562057298,-1.36257346147878,0.649538301653636,-0.236484342727439
"10",0.475,0.0417171698356025,-0.0581054587922384,0.0232340080858456,-0.118909593365049,-0.00416001299032092,0.187626821474063,0.0546486573518217,0.535617866158089,0.0811465694124502,0.94614878715121,1.31778844555399,-1.92205018105256,0.619490325137942,-1.74437744260929,-0.0675467503819354
"11",0.525,0.0440928492533621,-0.00125061236223573,0.0763045745525588,0.0278300439634986,0.133522038388776,0.163624212271235,0.966995686821069,0.0418967716958754,0.683026514245346,0.0301590590380994,1.39316296103091,-0.0413783723178635,2.03499743196529,0.408357332914233,2.16853095330538
"12",0.575,0.0198158070435232,-0.0485998209994552,-0.0508813264772487,-0.0567705881800001,0.0335806026384886,0.534126240378578,0.110086709286323,0.175755828413802,0.405573417809583,0.58587815175763,0.621779252142018,-1.59816272832514,-1.35411201349312,-0.831770540912465,0.544849540248674
"13",0.625,-0.0405263194493296,0.0244292227409122,-0.0347708921801052,0.0151303047181362,-0.0372151857354756,0.203361376580954,0.421639311461106,0.35483314247154,0.824588688587553,0.546051114778082,-1.27227094319224,0.80366643066281,-0.925332971502848,0.221657249109288,-0.603723831543952
"14",0.675,0.000908174010108821,0.00516084607750978,0.0351585347194006,0.112647202505874,0.0686779713690629,0.977138170544714,0.86458159660818,0.348812166816301,0.0986304608924568,0.265017439541009,0.0286595086634559,0.170558628612753,0.936977443074919,1.65180463745022,1.11471961270106
"15",0.725,0.00186973225337106,-0.0198271918416537,0.0157369051470227,-0.0749200805694165,0.00462447983882223,0.95293250855602,0.512184811106641,0.674921960052524,0.271973183278828,0.940169059364836,0.05902971499378,-0.655511124999807,0.4194253722117,-1.09863801276446,0.0750606772753252
"16",0.775,-0.0242127253177556,0.0197006912747926,-0.0122114975482405,-0.0275996346288741,-0.0425057656485068,0.444631079722468,0.514857432008751,0.744869934012249,0.685735245604983,0.490339403383862,-0.764448857710738,0.651333110022551,-0.325426729529938,-0.404669808460848,-0.68981323081001
"17",0.825,0.00753188939769943,0.000265877275018298,0.0352742499603311,0.0504331567309862,0.0123548140268348,0.812050976079807,0.992986951397678,0.347254124047616,0.459671009660808,0.841098862656028,0.237791864876498,0.00879004720723192,0.940005470682843,0.739438265940106,0.200497142332881
"18",0.875,-0.0541998560451001,0.0822844595656005,-0.0360238124835174,-0.0828446466730844,-0.143837570282243,0.0906594181675891,0.00707512561815526,0.337963001483712,0.224772097180344,0.0195579815237598,-1.69230964190093,2.69450640066206,-0.958279317078505,-1.21406717978941,-2.33537527513071
"19",0.925,0.0180555781067114,-0.0170783031951689,-0.0102607794856159,0.0421761129649476,0.0611076086026404,0.568625459710193,0.572307807268911,0.784503059096761,0.536301528583541,0.321339846719342,0.5701097670496,-0.564688225278732,-0.273468287811616,0.618452493707514,0.991793566975758
"20",0.975,-0.0145504141315315,-0.030444308232642,-0.0119669816043506,0.0876747675440261,0.0966124434762897,0.645886242136312,0.314075144490522,0.749742611869821,0.198551809554443,0.116864985922643,-0.459508678090509,-1.00679581879294,-0.31899400483144,1.28583634332306,1.56830434364132
"21",1.025,0.0502135240013812,0.00476321606452161,0.0173935318103654,-0.0563295606175068,-0.00681554505062966,0.113308911932282,0.874971042297449,0.643048937182806,0.408903890507501,0.911927125008068,1.5839487959558,0.157359206490535,0.463465986736611,-0.82588583909375,-0.110612987305615
"22",1.075,0.00338743201802502,-0.0167405676357419,0.0168842904993235,-0.00465478363439343,0.047456905423386,0.915406904983435,0.582216301633227,0.653325233636078,0.945648697089415,0.441487617049157,0.106228511482419,-0.550195366887087,0.449171852675931,-0.0681750349395737,0.769736904284639
"23",1.125,0.0112565410686866,0.0243478733890855,0.0703671810650151,-0.0230174597759635,-0.0178941094238159,0.722206063699468,0.420689661184525,0.0607132535228201,0.73566628750129,0.771437357218881,0.355529350443924,0.805282874883715,1.87594536901029,-0.3376141203572,-0.290508941286534
"24",1.175,-0.0483571653649397,0.0314790916812635,0.0295078437387786,0.166778010623949,-0.0436523206540726,0.129690770664245,0.30111158942541,0.432351023926205,0.0145679825372908,0.47873506370203,-1.51565877536931,1.03418493860531,0.78523197792988,2.44369204700626,-0.708384782964912
"25",1.225,0.028655945944095,-0.0122104838282886,-0.0110974120649135,-0.064968729546224,-0.0968372262694097,0.365496307038286,0.686358662547575,0.767371030239037,0.340691988234207,0.115998036344132,0.905012997834617,-0.403821901733473,-0.295829387219673,-0.952877674623282,-1.57203179068252
"26",1.275,-0.0418994102320519,-0.0045501876085307,-0.0755833251371137,0.0140102853871062,-0.0400877048518275,0.186446701124696,0.880533740093243,0.0440317018801008,0.837228079386239,0.515241793993884,-1.3214665882271,-0.15030404806318,-2.01425805621511,0.205449899635388,-0.650737923764228
"27",1.325,0.029919606441858,0.0091479729877001,-0.0412802398292004,-0.0390842754924512,0.0172262400579321,0.344780056705911,0.762271807973565,0.271232890388287,0.566539609987751,0.779777282101678,0.944840182396135,0.302513166364998,-1.10033321820308,-0.573188217189084,0.279622354943384
